Poster,Address,Link,BUSD,tJoy
seainvestor,,https://play.joystream.org/video/1634,4,103896
seainvestor,,https://play.joystream.org/video/1673,3.25,84416
seainvestor,,https://play.joystream.org/video/1678,3.5,90909
seainvestor,,https://play.joystream.org/video/1683,3.25,84416
seainvestor,,https://play.joystream.org/video/1688,3.5,90909
seainvestor,,https://play.joystream.org/video/1693,3,77922
seainvestor,,https://play.joystream.org/video/1845,4,103896
seainvestor,,https://play.joystream.org/video/2093,4,103896
Lopegor,,https://play.joystream.org/video/1819,4.5,116883
Lopegor,,https://play.joystream.org/video/1814,4.25,110390
Lopegor,,https://play.joystream.org/video/1804,3.75,97403
Lopegor,,https://play.joystream.org/video/1794,4.25,110390
Lopegor,,https://play.joystream.org/video/1784,4.25,110390
Lopegor,,https://play.joystream.org/video/1779,4,103896
spat_sochi,,https://play.joystream.org/video/1984,3.5,90909
spat_sochi,,https://play.joystream.org/video/1769,3.25,84416
spat_sochi,,https://play.joystream.org/video/2132,3.75,97403
stwoof,,https://play.joystream.org/video/2218,3.25,84416
stwoof,,https://play.joystream.org/video/2213,3.5,90909
stwoof,,https://play.joystream.org/video/2203,3.75,97403
stwoof,,https://play.joystream.org/video/2269,3.25,84416
stwoof,,https://play.joystream.org/video/2259,4.75,123377
stwoof,,https://play.joystream.org/video/2264,3.25,84416
stwoof,,https://play.joystream.org/video/2254,3.25,84416
stwoof,,https://play.joystream.org/video/2249,4.5,116883
stwoof,,https://play.joystream.org/video/2244,3.25,84416
stwoof,,https://play.joystream.org/video/2239,4.25,110390
stwoof,,https://play.joystream.org/video/2234,3.25,84416
stwoof,,https://play.joystream.org/video/2229,3,77922
stwoof,,https://play.joystream.org/video/2224,3.75,97403
stwoof,,https://play.joystream.org/video/2285,4.5,116883
stwoof,,https://play.joystream.org/video/2280,4.25,110390
stwoof,,https://play.joystream.org/video/2275,4.25,110390
Total,,,124,3220786