Testnet,Proposal #,Title,Status,Amount Asked,Amount Minted,Exchange Rate,$ amount,Category,Bounty,WG,Reimbursed
Alexandria,216,Stickers in the Telegram Joystream,Approved,25000,25000,,,Community Rewards,,,
Antioch,216,,,,,,,,,,
Alexandria,217,,,,,,,,,,
Antioch,217,,,,,,,,,,
Antioch,218,Reward for Bounty #10,Approved,15906015,15906015,,,Bounties,10,,Y
Alexandria,218,media.joystreamstats.live,Approved,5000000,5000000,,,Tools,,,
Alexandria,219,,,,,,,,,,
Antioch,219,,,,,,,,,,
Antioch,220,,,,,,,,,,
Antioch,221,,,,,,,,,,
Antioch,222,,,,,,,,,,
Antioch,223,,,,,,,,,,
Antioch,224,,,,,,,,,,
Antioch,225,,,,,,,,,,
Antioch,226,,,,,,,,,,
Antioch,227,,,,,,,,,,
Antioch,228,,,,,,,,,,
Antioch,229,,,,,,,,,,
Antioch,230,,,,,,,,,,
Antioch,231,,,,,,,,,,
Antioch,232,,,,,,,,,,
Antioch,233,,,,,,,,,,
Antioch,234,,,,,,,,,,
Antioch,235,,,,,,,,,,
Antioch,236,,,,,,,,,,
Antioch,237,Reward for Bounty #10,Approved,30754200,30754200,,,Bounties,10,,Y
Antioch,238,,,,,,,,,,
Antioch,239,,,,,,,,,,
Antioch,240,,,,,,,,,,
Antioch,241,,,,,,,,,,
Antioch,242,,,,,,,,,,
Antioch,243,,,,,,,,,,
Antioch,244,,,,,,,,,,
Antioch,245,,,,,,,,,,
Antioch,246,,,,,,,,,,
Antioch,247,,,,,,,,,,
Antioch,248,,,,,,,,,,
Antioch,249,,,,,,,,,,
Antioch,250,,,,,,,,,,
Antioch,251,,,,,,,,,,
Antioch,252,,,,,,,,,,
Antioch,253,,,,,,,,,,
Antioch,254,,,,,,,,,,
Antioch,255,,,,,,,,,,
Antioch,256,,,,,,,,,,
Antioch,257,,,,,,,,,,
Antioch,258,,,,,,,,,,
Antioch,259,,,,,,,,,,
Antioch,260,,,,,,,,,,
Antioch,261,,,,,,,,,,
Antioch,262,Payment for bounty 14: stwoof,Approved,28360870,28360870,,,Bounties,14,,Y
Antioch,263,Payment for bounty 14: maxlevush,Approved,9308183,9308183,,,Bounties,14,,Y
Antioch,264,Payments for Bounty 14: spat_sochi,Approved,5235853,5235853,,,Bounties,14,,Y
Antioch,265,,,,,,,,,,
Antioch,266,,,,,,,,,,
Antioch,267,Payments for Bounty 14: mmsaww,Approved,581762,581762,,,Bounties,14,,Y
Antioch,268,Payment for discord video bot improving,Approved,736594,736594,,,Tools,,,
Antioch,269,,,,,,,,,,
Antioch,270,,,,,,,,,,
Antioch,271,,,,,,,,,,
Antioch,272,,,,,,,,,,
Antioch,273,,,,,,,,,,
Antioch,274,,,,,,,,,,
Antioch,275,,,,,,,,,,
Antioch,276,,,,,,,,,,
Antioch,277,Missed payments.,Approved,1026000,1026000,,,WG Missed Payments,,,
Antioch,278,,,,,,,,,,
Antioch,279,,,,,,,,,,
Antioch,280,,,,,,,,,,
Antioch,281,Reward for Bounty #10,Approved,18749900,18749900,,,Bounties,10,,Y
Antioch,282,Awarded for creating a bot for Telegram,Approved,2000000,2000000,,,Tools,,,
Antioch,283,Awarded for proposing a Telegram bot,Approved,400000,400000,,,Tools,,,
Antioch,284,,,,,,,,,,
Antioch,285,,,,,,,,,,
Antioch,286,,,,,,,,,,
Antioch,287,,,,,,,,,,
Antioch,288,,,,,,,,,,
Antioch,289,,,,,,,,,,
Antioch,290,,,,,,,,,,
Antioch,291,,,,,,,,,,
Antioch,292,,,,,,,,,,
Antioch,293,,,,,,,,,,
Antioch,294,,,,,,,,,,
Antioch,295,,,,,,,,,,
Antioch,296,,,,,,,,,,
Antioch,297,,,,,,,,,,
Antioch,298,,,,,,,,,,
Antioch,299,,,,,,,,,,
Antioch,300,Payment for API scripts maintenance,Approved,4444444,4444444,,,Tools,,,
Antioch,301,,,,,,,,,,
Antioch,302,,,,,,,,,,
Antioch,303,,,,,,,,,,
Antioch,304,,,,,,,,,,
Antioch,305,Reward for Bounty #10,Approved,18397626,18397626,,,Bounties,10,,Y
Antioch,306,,,,,,,,,,
Antioch,307,,,,,,,,,,
Antioch,308,,,,,,,,,,
Antioch,309,,,,,,,,,,
Antioch,310,,,,,,,,,,
Antioch,311,,,,,,,,,,
Antioch,312,,,,,,,,,,
Antioch,313,,,,,,,,,,
Antioch,314,,,,,,,,,,
Antioch,315,,,,,,,,,,
Antioch,316,,,,,,,,,,
Antioch,317,Rewards Bounty 18,Approved,5233990,5233990,,,Bounties,18,,Y
Antioch,318,Reward for Content Curators,Approved,2803738,2803738,,,WG payments,,,
Antioch,319,,,,,,,,,,
Antioch,320,,,,,,,,,,
Antioch,321,,,,,,,,,,
Antioch,322,,,,,,,,,,
Antioch,323,,,,,,,,,,
Antioch,324,,,,,,,,,,
Antioch,325,,,,,,,,,,
Antioch,326,,,,,,,,,,
Antioch,327,,,,,,,,,,
Antioch,328,,,,,,,,,,
Antioch,329,,,,,,,,,,
Antioch,330,,,,,,,,,,
Antioch,331,,,,,,,,,,
Antioch,332,,,,,,,,,,
Antioch,333,,,,,,,,,,
Antioch,334,,,,,,,,,,
Antioch,335,Awarded for creating a bot for Discord,Approved,1500000,1500000,,,Tools,,,
Antioch,336,,,,,,,,,,
Antioch,337,,,,,,,,,,
Antioch,338,,,,,,,,,,
Antioch,339,,,,,,,,,,
Antioch,340,,,,,,,,,,
Antioch,341,,,,,,,,,,
Antioch,342,,,,,,,,,,
Antioch,343,,,,,,,,,,
Antioch,344,,,,,,,,,,
Antioch,345,Refund for application stakes,Approved,3000000,3000000,,,System Refund,,,
Antioch,346,,,,,,,,,,
Antioch,347,,,,,,,,,,
Antioch,348,,,,,,,,,,
Antioch,349,,,,,,,,,,
Antioch,350,,,,,,,,,,
Antioch,351,,,,,,,,,,
Antioch,352,OKR Payment for lyazufey1812,Approved,7547770,7547770,,,OKR,,Curators,
Antioch,353,Reward for Bounty #10,Approved,6216838,6216838,,,Bounties,10,,Y
Antioch,354,,,,,,,,,,
Antioch,355,,,,,,,,,,
Antioch,356,,,,,,,,,,
Antioch,357,Reward for Bounty #10,Approved,13528385,13528385,,,Bounties,10,,Y
Antioch,358,,,,,,,,,,
Antioch,359,,,,,,,,,,
Antioch,360,,,,,,,,,,
Antioch,361,,,,,,,,,,
Antioch,362,,,,,,,,,,
Antioch,363,,,,,,,,,,
Antioch,364,,,,,,,,,,
Antioch,365,,,,,,,,,,
Antioch,366,,,,,,,,,,
Antioch,367,,,,,,,,,,
Antioch,368,,,,,,,,,,
Antioch,369,Incentive payment (Bounty 16) pt.2,Approved,4000000,4000000,,,Community Rewards,,,
Antioch,370,Payments to challenge participants,Approved,3100000,3100000,,,Community Rewards,,,
Antioch,371,,,,,,,,,,
Antioch,372,,,,,,,,,,
Antioch,373,,,,,,,,,,
Antioch,374,,,,,,,,,,
Antioch,375,,,,,,,,,,
Antioch,376,,,,,,,,,,
Antioch,377,,,,,,,,,,
Antioch,378,,,,,,,,,,
Antioch,379,,,,,,,,,,
Antioch,380,,,,,,,,,,
Antioch,381,,,,,,,,,,
Antioch,382,Payment for Community Bounty #19,Approved,13793103,13793103,0.000029,400,Bounties,19,,Y
Antioch,383,,,,,,,,,,
Antioch,384,,,,,,,,,,
Antioch,385,,,,,,,,,,
Antioch,386,,,,,,,,,,
Antioch,387,,,,,,,,,,
Antioch,388,,,,,,,,,,
Antioch,389,,,,,,,,,,
Antioch,390,,,,,,,,,,
Antioch,391,,,,,,,,,,
Antioch,392,,,,,,,,,,
Antioch,393,,,,,,,,,,
Antioch,394,,,,,,,,,,
Antioch,395,OKR Payment for lyazufey1812,Approved,2933333,2933333,,,OKR,,Curators,
Antioch,396,OKR Payment for mmsaww,Approved,633333,633333,,,OKR,,Curators,
Antioch,397,,,,,,,,,,
Antioch,398,,,,,,,,,,
Antioch,399,,,,,,,,,,
Antioch,400,,,,,,,,,,
Antioch,401,,,,,,,,,,
Antioch,402,,,,,,,,,,
Antioch,403,,,,,,,,,,
Antioch,404,,,,,,,,,,
Antioch,405,,,,,,,,,,
Antioch,406,,,,,,,,,,
Antioch,407,,,,,,,,,,
Antioch,408,,,,,,,,,,
Antioch,409,,,,,,,,,,
Antioch,410,,,,,,,,,,
Antioch,411,,,,,,,,,,
Antioch,412,,,,,,,,,,
Antioch,413,,,,,,,,,,
Antioch,414,,,,,,,,,,
Antioch,415,,,,,,,,,,
Antioch,416,,,,,,,,,,
Antioch,417,,,,,,,,,,
Antioch,418,,,,,,,,,,
Antioch,419,,,,,,,,,,
Antioch,420,,,,,,,,,,
Antioch,421,,,,,,,,,,
Antioch,422,,,,,,,,,,
Antioch,423,,,,,,,,,,
Antioch,424,,,,,,,,,,
Antioch,425,,,,,,,,,,
Antioch,426,,,,,,,,,,
Antioch,427,,,,,,,,,,
Antioch,428,,,,,,,,,,
Antioch,429,,,,,,,,,,
Antioch,430,,,,,,,,,,
Antioch,431,,,,,,,,,,
Antioch,432,,,,,,,,,,
Antioch,433,,,,,,,,,,
Antioch,434,,,,,,,,,,
Antioch,435,,,,,,,,,,
Antioch,436,,,,,,,,,,
Antioch,437,,,,,,,,,,
Antioch,438,,,,,,,,,,
Antioch,439,,,,,,,,,,
Antioch,440,,,,,,,,,,
Antioch,441,WG Lead Term Limits,Approved,2941100,2941100,,90,Term Limits,,,
Antioch,442,,,,,,,,,,
Antioch,443,,,,,,,,,,
Antioch,444,,,,,,,,,,
Antioch,445,,,,,,,,,,
Antioch,446,,,,,,,,,,
Antioch,447,,,,,,,,,,
Antioch,448,,,,,,,,,,
Antioch,449,,,,,,,,,,
Antioch,450,,,,,,,,,,
Antioch,451,Payment for code development,Approved,26000000,26000000,0.00003,780,Tools,,Operations,
Antioch,452,,,,,,,,,,
Antioch,453,,,,,,,,,,
Antioch,454,,,,,,,,,,
Antioch,455,Reward for @ilich for Bounty 20,Approved,13275805,13275805,0.00003013,400,Bounties,20,,Y
Antioch,456,,,,,,,,,,
Antioch,457,Storage Notifier Bot for discord,Approved,9000000,9000000,,,Tools,,,
Antioch,458,,,,,,,,,,
Antioch,459,,,,,,,,,,
Antioch,460,,,,,,,,,,
Antioch,461,,,,,,,,,,
Antioch,462,,,,,,,,,,
Antioch,463,,,,,,,,,,
Antioch,464,,,,,,,,,,
Antioch,465,,,,,,,,,,
Antioch,466,,,,,,,,,,
Antioch,467,,,,,,,,,,
Antioch,468,,,,,,,,,,
Antioch,469,OKR Reward for Content Curator,Approved,2429500,2429500,0.0000284,69,OKR,,Curators,
Antioch,470,,,,,,,,,,
Antioch,471,,,,,,,,,,
Antioch,472,,,,,,,,,,
Antioch,473,,,,,,,,,,
Antioch,474,,,,,,,,,,
Antioch,475,Reward for stickers,Approved,4500000,4500000,,,Community Rewards,,,
Antioch,476,,,,,,,,,,
Antioch,477,,,,,,,,,,
Antioch,478,,,,,,,,,,
Antioch,479,,,,,,,,,,
Antioch,480,,,,,,,,,,
Antioch,481,,,,,,,,,,
Antioch,482,,,,,,,,,,
Antioch,483,,,,,,,,,,
Antioch,484,Payment for @andybut for Bounty #9,Approved,3988800,3988800,0.00002858,114,Bounties,9,,Y
Antioch,485,,,,,,,,,,
Antioch,486,,,,,,,,,,
Antioch,487,Payment for @spat_sochi for Bounty #9,Approved,140845,140845,0.0000284,3.999998,Bounties,9,,Y
Antioch,488,,,,,,,,,,
Antioch,489,,,,,,,,,,
Antioch,490,,,,,,,,,,
Antioch,491,,,,,,,,,,
Antioch,492,,,,,,,,,,
Antioch,493,,,,,,,,,,
Antioch,494,,,,,,,,,,
Antioch,495,Reward for work. Bounty 16,Approved,9076000,9076000,0.00002692,244.32592,Bounties,16,,Y
Antioch,496,,,,,,,,,,
Antioch,497,,,,,,,,,,
Antioch,498,,,,,,,,,,
Antioch,499,Awarded for creating a faucet,Approved,9000000,9000000,0.0000267,240.3,Tools,,,
Antioch,500,,,,,,,,,,
Antioch,501,,,,,,,,,,
Antioch,502,Bounty payment 18,Approved,16541353,16541353,0.0000266,440,Bounties,18,,Y
Antioch,503,,,,,,,,,,
Antioch,504,,,,,,,,,,
Antioch,505,,,,,,,,,,
Antioch,506,,,,,,,,,,
Antioch,507,,,,,,,,,,
Antioch,508,,,,,,,,,,
Antioch,509,,,,,,,,,,
Antioch,510,,,,,,,,,,
Antioch,511,,,,,,,,,,
Antioch,512,,,,,,,,,,
Antioch,513,,,,,,,,,,
Antioch,514,,,,,,,,,,
Antioch,515,,,,,,,,,,
Antioch,516,Reward for @OlgaKuzia for Bounty 20,Approved,15043249,15043249,0.00002659,400,Bounties,20,,Y
Antioch,517,,,,,,,,,,
Antioch,518,,,,,,,,,,
Antioch,519,,,,,,,,,,
Antioch,520,,,,,,,,,,
Antioch,521,,,,,,,,,,
Antioch,522,,,,,,,,,,
Antioch,523,,,,,,,,,,
Antioch,524,,,,,,,,,,
Antioch,525,,,,,,,,,,
Antioch,526,,,,,,,,,,
Antioch,527,,,,,,,,,,
Antioch,528,,,,,,,,,,
Antioch,529,,,,,,,,,,
Antioch,530,,,,,,,,,,
Antioch,531,,,,,,,,,,
Antioch,532,,,,,,,,,,
Antioch,533,Bounty payment 18,Approved,8880300,8880300,0.0000259,230,Bounties,18,,Y
Antioch,534,,,,,,,,,,
Antioch,535,,,,,,,,,,
Antioch,536,,,,,,,,,,
Antioch,537,,,,,,,,,,
Antioch,538,,,,,,,,,,
Antioch,539,,,,,,,,,,
Antioch,540,,,,,,,,,,
Antioch,541,,,,,,,,,,
Antioch,542,,,,,,,,,,
Antioch,543,,,,,,,,,,
Antioch,544,,,,,,,,,,
Antioch,545,,,,,,,,,,
Antioch,546,,,,,,,,,,
Antioch,547,,,,,,,,,,
Antioch,548,,,,,,,,,,
Antioch,549,,,,,,,,,,
Antioch,550,,,,,,,,,,
Antioch,551,,,,,,,,,,
Antioch,552,,,,,,,,,,
Antioch,553,,,,,,,,,,
Antioch,554,,,,,,,,,,
Antioch,555,,,,,,,,,,
Antioch,556,,,,,,,,,,
Antioch,557,,,,,,,,,,
Antioch,558,,,,,,,,,,
Antioch,559,,,,,,,,,,
Antioch,560,,,,,,,,,,
Antioch,561,,,,,,,,,,
Antioch,562,,,,,,,,,,
Antioch,563,,,,,,,,,,
Antioch,564,Bounty payment 18,Approved,9607843,9607843,0.0000255,245,Bounties,18,,Y
Antioch,565,OKR Reward for Content Curato,Approved,1686200,1686200,0.0000255,43,OKR,,Curators,
Antioch,566,,,,,,,,,,
Antioch,567,,,,,,,,,,
Antioch,568,Bounty #21 - Reward Translation to RU,Approved,19489800,19489800,0.0000256,500,Bounties,21,,Y
Antioch,569,,,,,,,,,,
Antioch,570,Payment Curator Lead OKR,Approved,1570320,1570320,0.0000254,40,OKR,,Curators,
Antioch,571,,,,,,,,,,
Antioch,572,,,,,,,,,,
Antioch,573,,,,,,,,,,
Antioch,574,,,,,,,,,,
Antioch,575,,,,,,,,,,
Antioch,576,,,,,,,,,,
Antioch,577,,,,,,,,,,
Antioch,578,,,,,,,,,,
Antioch,579,,,,,,,,,,
Antioch,580,,,,,,,,,,
Antioch,581,,,,,,,,,,
Antioch,582,,,,,,,,,,
Antioch,583,,,,,,,,,,
Antioch,584,,,,,,,,,,
Antioch,585,,,,,,,,,,
Antioch,586,Bounty payment 18,Approved,12449799,12449799,0.0000249,310,Bounties,18,,Y
Antioch,587,,,,,,,,,,
Antioch,588,,,,,,,,,,
Antioch,589,OKR Reward for Content Curator,Approved,2429149,2429149,0.0000247,60,OKR,,Curators,
Antioch,590,,,,,,,,,,
Antioch,591,,,,,,,,,,
Antioch,592,Payment Curator Lead OKR,Approved,1634928,1634928,0.0000244,40,OKR,,Curators,
Antioch,593,,,,,,,,,,
Antioch,594,,,,,,,,,,
Antioch,595,,,,,,,,,,
Antioch,596,,,,,,,,,,
Antioch,597,,,,,,,,,,
Antioch,598,,,,,,,,,,
Antioch,599,,,,,,,,,,
Antioch,600,,,,,,,,,,
Antioch,601,,,,,,,,,,
Antioch,602,,,,,,,,,,
Antioch,603,,,,,,,,,,
Antioch,604,,,,,,,,,,
Antioch,605,,,,,,,,,,
Antioch,606,,,,,,,,,,
Antioch,607,,,,,,,,,,
Antioch,608,,,,,,,,,,
Antioch,609,,,,,,,,,,
Antioch,610,,,,,,,,,,
Antioch,611,,,,,,,,,,
Antioch,612,,,,,,,,,,
Antioch,613,,,,,,,,,,
Antioch,614,Payment Bounty 18,Approved,10849429,10849429,0.0000259,281,Bounties,18,,N
Antioch,615,,,,,,,,,,
Antioch,616,,,,,,,,,,
Antioch,617,,,,,,,,,,
Antioch,618,OKR Reward for Content Curator,Approved,2382812,2382812,0.0000256,61,OKR,,Curators,
Antioch,619,,,,,,,,,,
Antioch,620,OKR rewards for Curator Lead,Approved,2352941,2352941,0.0000255,60,OKR,,Curators,
Antioch,621,,,,,,,,,,
Antioch,622,,,,,,,,,,
Antioch,623,,,,,,,,,,
Antioch,624,,,,,,,,,,
Antioch,625,,,,,,,,,,
Antioch,626,,,,,,,,,,
Antioch,627,,,,,,,,,,
Antioch,628,,,,,,,,,,
Antioch,629,,,,,,,,,,
Antioch,630,Faucet funds,Approved,500000,500000,0.0000255,12.75,Community Rewards,,,
Antioch,631,,,,,,,,,,
Antioch,632,,,,,,,,,,
Antioch,633,,,,,,,,,,
Antioch,634,,,,,,,,,,
Antioch,635,,,,,,,,,,
Antioch,636,,,,,,,,,,
Antioch,637,,,,,,,,,,
Antioch,638,,,,,,,,,,
Antioch,639,,,,,,,,,,
Antioch,640,,,,,,,,,,
Antioch,641,OKR Reward for Content Curator,Approved,2350746,2350746,0.0000268,63,OKR,,Curators,
Antioch,642,,,,,,,,,,
Antioch,643,Curator Lead OKR rewards,Approved,2238805,2238805,0.0000268,60,OKR,,Curators,
Antioch,644,Payment Bounty 18,Approved,6156716,6156716,0.0000268,165,Bounties,18,,N
Antioch,645,,,,,,,,,,
Antioch,646,,,,,,,,,,
Antioch,647,Payment Bounty 24,Approved,5088496,5088496,0.0000271,138,Bounties,24,,N
Antioch,648,,,,,,,,,,
Antioch,649,Bounty #21 - Review of Translation to RU,Approved,14869888,14869888.48,0.0000269,400,Bounties,21,,N
Antioch,650,,,,,,,,,,
Antioch,651,,,,,,,,,,
Antioch,652,,,,,,,,,,
Antioch,653,Payment for @andybut for Bounty #9,Approved,3275000,3275000,0.0000268,88,Bounties,9,,N
Antioch,654,,,,,,,,,,
Antioch,655,,,,,,,,,,
Antioch,656,,,,,,,,,,
Antioch,657,,,,,,,,,,
Antioch,658,Payment for @kate_fm for Bounty #9,Approved,3885300,3885300,0.0000265,103,Bounties,9,,N
Antioch,659,,,,,,,,,,
Antioch,660,,,,,,,,,,
Antioch,661,,,,,,,,,,
Antioch,662,Payment Bounty 18,Approved,5665399,5665399,0.0000263,149,Bounties,18,,N
Antioch,663,,,,,,,,,,
Antioch,664,,,,,,,,,,
Antioch,665,,,,,,,,,,
Antioch,666,,,,,,,,,,
Antioch,667,,,,,,,,,,
Antioch,668,,,,,,,,,,
Antioch,669,,,,,,,,,,
Antioch,670,,,,,,,,,,
Antioch,671,,,,,,,,,,
Antioch,672,,,,,,,,,,
Antioch,673,OKR Reward for Content Curator,Approved,1915708,1915708,0.0000261,50,OKR,,Curators,
Antioch,674,,,,,,,,,,
Antioch,675,,,,,,,,,,
Antioch,676,,,,,,,,,,
Antioch,677,,,,,,,,,,
Antioch,678,,,,,,,,,,
Antioch,679,,,,,,,,,,
Antioch,680,,,,,,,,,,
Antioch,681,,,,,,,,,,
Antioch,682,Curator Lead OKR rewards,Approved,2321981,2321981,0.0000258,60,OKR,,Curators,
Antioch,683,Payment Bounty 24 (2-nd week),Approved,12519379,12519379,0.0000258,323,Bounties,24,,N
Antioch,684,,,,,,,,,,
Antioch,685,,,,,,,,,,
Antioch,686,,,,,,,,,,
Antioch,687,,,,,,,,,,
Antioch,688,,,,,,,,,,
Antioch,689,,,,,,,,,,
Antioch,690,,,,,,,,,,
Antioch,691,,,,,,,,,,
Antioch,692,,,,,,,,,,
Antioch,693,Payment Bounty 18,Approved,4406130,4406130,0.0000261,115,Bounties,18,,N
Antioch,694,,,,,,,,,,
Antioch,695,,,,,,,,,,
Antioch,696,,,,,,,,,,
Antioch,697,,,,,,,,,,
Antioch,698,OKR Reward for Content Curator,Approved,2316602,2316602,0.0000259,60,OKR,,Curators,
Antioch,699,Curator Lead OKR rewards,Approved,2318393,2318393,0.0000258,60,OKR,,Curators,
Antioch,700,,,,,,,,,,
Antioch,701,,,,,,,,,,
Antioch,702,,,,,,,,,,
Antioch,703,,,,,,,,,,
Antioch,704,,,,,,,,,,
Antioch,705,,,,,,,,,,
Antioch,706,,,,,,,,,,
Antioch,707,Bounty 24 Payment (3 week ),Approved,10546723,10546723,0.0000257,272,Bounties,24,,N
Antioch,708,,,,,,,,,,
Antioch,709,,,,,,,,,,
Antioch,710,,,,,,,,,,
Antioch,711,,,,,,,,,,
Antioch,712,,,,,,,,,,
Antioch,713,,,,,,,,,,
Antioch,714,,,,,,,,,,
Antioch,715,,,,,,,,,,
Antioch,716,,,,,,,,,,
Antioch,717,,,,,,,,,,
Antioch,718,,,,,,,,,,
Antioch,719,,,,,,,,,,
Antioch,720,,,,,,,,,,
Antioch,721,,,,,,,,,,
Antioch,722,,,,,,,,,,
Antioch,723,,,,,,,,,,
Antioch,724,,,,,,,,,,
Antioch,725,,,,,,,,,,
Antioch,726,Bounty 24 Payment (4th week ),Approved,12341270,12341270,0.0000252,311,Bounties,24,,N
Antioch,727,Payment Bounty 18,Approved,10238095,10238095,0.0000252,258,Bounties,18,,N
Antioch,728,,,,,,,,,,
Antioch,729,,,,,,,,,,
Antioch,730,,,,,,,,,,
Antioch,731,,,,,,,,,,
Antioch,732,Curator Lead OKR rewards,Approved,2317497,2317497,0.00002589,60,OKR,,Curators,
Antioch,733,,,,,,,,,,
Antioch,734,,,,,,,,,,
Antioch,735,OKR Reward for Content Curator,Approved,2519379,2519379,0.0000258,65,OKR,,Curators,
Antioch,736,,,,,,,,,,
Antioch,737,,,,,,,,,,
Antioch,738,,,,,,,,,,
Antioch,739,,,,,,,,,,
Antioch,740,,,,,,,,,,
Antioch,741,,,,,,,,,,
Antioch,742,,,,,,,,,,
Antioch,743,,,,,,,,,,
Antioch,744,,,,,,,,,,
Antioch,745,,,,,,,,,,
Antioch,746,,,,,,,,,,
Antioch,747,,,,,,,,,,
Antioch,748,,,,,,,,,,
Antioch,749,,,,,,,,,,
Antioch,750,,,,,,,,,,
Antioch,751,,,,,,,,,,
Antioch,752,Bounty 24. Payments (5-th week).,Approved,11881188,11881188,0.00002525,300,Bounties,24,,N
Antioch,753,,,,,,,,,,
Antioch,754,Payment Bounty 18,Approved,9440000,9440000,0.000025,236,Bounties,18,,N
Antioch,755,,,,,,,,,,
Antioch,756,,,,,,,,,,
Antioch,757,,,,,,,,,,
Antioch,758,,,,,,,,,,
Antioch,759,,,,,,,,,,
Antioch,760,Bounty 21 - Spanish Translation,Approved,19379800,19379800,0.0000258,500,Bounties,21,,N
Antioch,761,Curator Lead OKR rewards,Approved,2325581,2325581,0.0000258,60,OKR,,Curators,
Antioch,762,OKR Reward for Content Curator,Approved,2519379,2519379,0.0000258,65,OKR,,Curators,
Antioch,763,,,,,,,,,,
Antioch,764,,,,,,,,,,
Antioch,765,,,,,,,,,,
Antioch,766,,,,,,,,,,
Antioch,767,,,,,,,,,,
Antioch,768,,,,,,,,,,
Antioch,769,,,,,,,,,,
Antioch,770,,,,,,,,,,
Antioch,771,,,,,,,,,,
Antioch,772,,,,,,,,,,
Antioch,773,"Replenish my ""give account"" #2",Approved,5000000,5000000,0.0000231,115,Community Rewards,,,
Antioch,774,,,,,,,,,,
Antioch,775,,,,,,,,,,
Antioch,776,Payment Bounty 18,Approved,10565217,10565217,0.000023,243,Bounties,18,,N
Antioch,777,,,,,,,,,,
Antioch,778,,,,,,,,,,
Antioch,779,,,,,,,,,,
Antioch,780,,,,,,,,,,
Antioch,781,Payment Bounty 24 (6-th week),Approved,12594458,12594458,0.00002382,300,Bounties,24,,N
Antioch,782,,,,,,,,,,
Antioch,783,,,,,,,,,,
Antioch,784,Curator Lead OKR rewards,Approved,2400000,2400000,0.000025,60,OKR,,Curators,
Antioch,785,,,,,,,,,,
Antioch,786,,,,,,,,,,
Antioch,787,,,,,,,,,,
Antioch,788,,,,,,,,,,
Antioch,789,,,,,,,,,,
Antioch,790,,,,,,,,,,
Antioch,791,,,,,,,,,,
Antioch,792,,,,,,,,,,
Antioch,793,,,,,,,,,,
Antioch,794,,,,,,,,,,
Antioch,795,,,,,,,,,,
Antioch,796,,,,,,,,,,
Antioch,797,,,,,,,,,,
Antioch,798,,,,,,,,,,
Antioch,799,,,,,,,,,,
Antioch,800,,,,,,,,,,
Antioch,801,,,,,,,,,,
Antioch,802,,,,,,,,,,
Antioch,803,,,,,,,,,,
Antioch,804,,,,,,,,,,
Antioch,805,,,,,,,,,,
Antioch,806,,,,,,,,,,
Antioch,807,,,,,,,,,,
Antioch,808,,,,,,,,,,
Antioch,809,,,,,,,,,,
Antioch,810,,,,,,,,,,
Antioch,811,,,,,,,,,,
Antioch,812,,,,,,,,,,
Antioch,813,,,,,,,,,,
Antioch,814,,,,,,,,,,
Antioch,815,,,,,,,,,,
Antioch,816,,,,,,,,,,
Antioch,817,,,,,,,,,,
Antioch,818,,,,,,,,,,
Antioch,819,,,,,,,,,,
Antioch,820,,,,,,,,,,
Antioch,821,,,,,,,,,,
Antioch,822,,,,,,,,,,
Antioch,823,,,,,,,,,,
Antioch,824,,,,,,,,,,
Antioch,825,,,,,,,,,,
Antioch,826,,,,,,,,,,
Antioch,827,,,,,,,,,,
Antioch,828,,,,,,,,,,
Antioch,829,,,,,,,,,,
Antioch,830,,,,,,,,,,
Antioch,831,,,,,,,,,,
Antioch,832,,,,,,,,,,
Antioch,833,,,,,,,,,,
Antioch,834,,,,,,,,,,
Antioch,835,,,,,,,,,,
Antioch,836,,,,,,,,,,
Antioch,837,,,,,,,,,,
Antioch,838,,,,,,,,,,
Antioch,839,,,,,,,,,,
Antioch,840,,,,,,,,,,
Antioch,841,,,,,,,,,,
Antioch,842,,,,,,,,,,
